2025-03-04 00:33:08 | Total: 30572MB | Used: 3750MB | Free: 26332MB
2025-03-04 00:33:08 | Total: 30572MB | Used: 3759MB | Free: 26323MB
2025-03-04 00:33:09 | Total: 30572MB | Used: 3758MB | Free: 26324MB
2025-03-04 00:33:09 | Total: 30572MB | Used: 3760MB | Free: 26322MB
2025-03-04 00:33:10 | Total: 30572MB | Used: 3758MB | Free: 26324MB
2025-03-04 00:33:10 | Total: 30572MB | Used: 3760MB | Free: 26322MB
2025-03-04 00:33:11 | Total: 30572MB | Used: 3760MB | Free: 26322MB
2025-03-04 00:33:12 | Total: 30572MB | Used: 3758MB | Free: 26324MB
2025-03-04 00:33:12 | Total: 30572MB | Used: 3759MB | Free: 26323MB
2025-03-04 00:33:13 | Total: 30572MB | Used: 3761MB | Free: 26321MB
2025-03-04 00:33:13 | Total: 30572MB | Used: 3761MB | Free: 26321MB
2025-03-04 00:33:14 | Total: 30572MB | Used: 3760MB | Free: 26321MB
2025-03-04 00:33:14 | Total: 30572MB | Used: 3760MB | Free: 26322MB
2025-03-04 00:33:15 | Total: 30572MB | Used: 3760MB | Free: 26322MB
2025-03-04 00:33:15 | Total: 30572MB | Used: 3760MB | Free: 26322MB
2025-03-04 00:33:16 | Total: 30572MB | Used: 3759MB | Free: 26323MB
2025-03-04 00:33:16 | Total: 30572MB | Used: 3759MB | Free: 26323MB
2025-03-04 00:33:17 | Total: 30572MB | Used: 3759MB | Free: 26323MB
2025-03-04 00:33:17 | Total: 30572MB | Used: 3759MB | Free: 26323MB
2025-03-04 00:33:18 | Total: 30572MB | Used: 3760MB | Free: 26322MB
2025-03-04 00:45:14 | Total Memory: 30572MB | Used Memory: 6473MB | Free Memory: 22616MB | Total Swap: 48054MB | Used Swap: 3435MB | Free Swap: 44618MB
2025-03-04 00:45:14 | Total Memory: 30572MB | Used Memory: 6493MB | Free Memory: 22597MB | Total Swap: 48054MB | Used Swap: 3435MB | Free Swap: 44618MB
2025-03-04 00:45:15 | Total Memory: 30572MB | Used Memory: 6514MB | Free Memory: 22576MB | Total Swap: 48054MB | Used Swap: 3435MB | Free Swap: 44618MB
2025-03-04 00:45:15 | Total Memory: 30572MB | Used Memory: 6518MB | Free Memory: 22572MB | Total Swap: 48054MB | Used Swap: 3435MB | Free Swap: 44618MB
2025-03-04 00:45:16 | Total Memory: 30572MB | Used Memory: 6635MB | Free Memory: 22455MB | Total Swap: 48054MB | Used Swap: 3435MB | Free Swap: 44618MB
2025-03-04 00:45:16 | Total Memory: 30572MB | Used Memory: 6758MB | Free Memory: 22332MB | Total Swap: 48054MB | Used Swap: 3435MB | Free Swap: 44618MB
2025-03-04 00:45:17 | Total Memory: 30572MB | Used Memory: 6818MB | Free Memory: 22226MB | Total Swap: 48054MB | Used Swap: 3435MB | Free Swap: 44618MB
2025-03-04 00:45:17 | Total Memory: 30572MB | Used Memory: 7005MB | Free Memory: 21954MB | Total Swap: 48054MB | Used Swap: 3435MB | Free Swap: 44618MB
2025-03-04 00:45:18 | Total Memory: 30572MB | Used Memory: 7321MB | Free Memory: 21564MB | Total Swap: 48054MB | Used Swap: 3435MB | Free Swap: 44618MB
2025-03-04 00:45:18 | Total Memory: 30572MB | Used Memory: 7668MB | Free Memory: 21160MB | Total Swap: 48054MB | Used Swap: 3435MB | Free Swap: 44618MB
